Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,Viewed Ticket,Ticket Solved,Customer Satisfaction Rating
32,1,GoPro Hero,22-03-2021,Technical issue,1,3,Social media,1,0,0
42,1,LG Smart TV,22-05-2021,Technical issue,1,3,Chat,1,0,0
48,0,Dell XPS,14-07-2020,Technical issue,2,0,Social media,1,1,3
27,1,Microsoft Office,13-11-2020,Billing inquiry,2,0,Social media,1,1,3
67,1,Autodesk AutoCAD,04-02-2020,Billing inquiry,2,0,Email,1,1,1
53,0,Microsoft Office,28-07-2020,Cancellation request,0,0,Social media,0,0,0
24,1,Microsoft Surface,23-02-2020,Product inquiry,0,3,Social media,0,0,0
23,0,Philips Hue Lights,09-08-2020,Refund request,0,3,Social media,0,0,0
60,1,Fitbit Versa Smartwatch,16-07-2020,Technical issue,1,0,Social media,1,0,0
27,0,Dyson Vacuum Cleaner,06-03-2020,Refund request,1,3,Phone,1,0,0
48,0,Nintendo Switch,19-01-2021,Cancellation request,2,2,Phone,1,1,1
51,0,Microsoft Xbox Controller,24-10-2021,Product inquiry,2,2,Chat,1,1,1
27,1,Nintendo Switch Pro Controller,26-05-2021,Technical issue,1,0,Chat,1,0,0
65,1,Nest Thermostat,13-07-2020,Technical issue,1,0,Chat,1,0,0
48,1,Sony PlayStation,29-02-2020,Billing inquiry,2,2,Chat,1,1,4
18,1,GoPro Action Camera,24-06-2021,Billing inquiry,1,2,Social media,1,0,0
63,0,Xbox,13-10-2021,Product inquiry,2,3,Chat,1,1,4
56,1,Microsoft Xbox Controller,07-09-2020,Product inquiry,1,2,Chat,1,0,0
19,0,LG Washing Machine,23-09-2021,Product inquiry,0,2,Social media,0,0,0
39,1,Canon EOS,08-03-2021,Refund request,2,0,Chat,1,1,5
28,1,HP Pavilion,31-05-2021,Refund request,1,2,Chat,1,0,0
66,0,Fitbit Versa Smartwatch,04-02-2020,Cancellation request,1,3,Social media,1,0,0
54,1,Xbox,11-02-2020,Cancellation request,0,1,Social media,0,0,0
63,1,Nintendo Switch Pro Controller,06-08-2021,Technical issue,1,0,Social media,1,0,0
19,0,Amazon Kindle,25-05-2021,Product inquiry,0,3,Email,0,0,0
35,1,HP Pavilion,05-07-2021,Product inquiry,1,1,Social media,1,0,0
22,1,Lenovo ThinkPad,02-05-2020,Billing inquiry,1,0,Social media,1,0,0
21,1,Fitbit Charge,12-10-2020,Cancellation request,0,2,Phone,0,0,0
30,0,Fitbit Charge,10-06-2020,Technical issue,2,3,Phone,1,1,5
67,0,Xbox,26-12-2020,Cancellation request,2,1,Phone,1,1,1
22,1,Adobe Photoshop,28-01-2021,Billing inquiry,0,0,Email,0,0,0
60,0,GoPro Action Camera,20-12-2021,Technical issue,2,1,Social media,1,1,3
36,1,Fitbit Charge,07-12-2021,Billing inquiry,1,1,Chat,1,0,0
50,0,Autodesk AutoCAD,09-12-2021,Refund request,2,3,Social media,1,1,5
27,0,Microsoft Xbox Controller,09-04-2021,Refund request,1,0,Chat,1,0,0
24,0,GoPro Hero,13-10-2020,Cancellation request,2,2,Chat,1,1,1
65,1,Canon EOS,14-03-2020,Refund request,1,1,Email,1,0,0
39,1,Amazon Kindle,02-09-2020,Product inquiry,0,1,Chat,0,0,0
19,0,Google Pixel,10-09-2021,Technical issue,2,3,Phone,1,1,3
33,1,Amazon Echo,22-10-2021,Product inquiry,1,1,Social media,1,0,0
19,1,PlayStation,07-02-2021,Product inquiry,1,0,Phone,1,0,0
35,0,Dell XPS,09-06-2021,Billing inquiry,2,3,Chat,1,1,3
22,0,Samsung Galaxy,10-10-2020,Product inquiry,1,1,Phone,1,0,0
54,1,iPhone,16-01-2020,Technical issue,0,0,Email,0,0,0
34,0,HP Pavilion,25-09-2021,Refund request,2,3,Email,1,1,2
65,1,LG Smart TV,01-02-2021,Product inquiry,0,0,Chat,0,0,0
50,1,Nintendo Switch Pro Controller,15-10-2020,Refund request,2,2,Phone,1,1,1
